category,department,shelf_life_days,days_remaining,initial_stock,current_stock,base_price,dynamic_price,elasticity,restock_frequency_days,carbon_score,predicted_daily_sales,days_until_restock,days_stock_lasts,risk_score,forecasted_waste_units,forecasted_waste_value,recommended_action,co2_saved_kg,meals_saved,water_saved_liters,energy_saved_kwh,sustainability_score,efficiency_ratio,overstock_score
1,3,315,210,212,0,5.46,5.46,0.63,7,2.46,56.0,0,3.392857142857143,26.87,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,707,456,68,0,4.62,4.62,0.0,7,3.84,67.49,0,0.6815824782340681,39.56,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,8,0,92,0,9.38,9.38,1.37,1,5.45,53.37,0,1.4614952512843422,61.8,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,22,0,92,0,9.81,9.81,0.0,1,6.2,6.43,0,10.730948964555129,74.8,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,53,0,56,0,5.26,5.26,0.94,2,8.09,58.02,1,0.2412961028876837,72.96,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,570,212,295,827,4.17,4.17,0.47,9,5.42,15.9,2,4.528301995434599,82.1,0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,51.69
1,7,11,0,444,444,8.13,8.13,1.46,2,3.58,19.71,2,9.233891854585512,84.32,444,3609.72,0,1589.52,1480.0,22200,111.0,100.0,0.44,23.37
1,7,14,0,243,0,7.67,7.67,1.61,1,5.04,76.93,0,1.2608865152113349,60.16,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,699,616,308,1288,4.76,4.76,0.49,12,2.61,2.78,10,54.67625955550372,50.29,56,266.56,4,146.16,186.67,2800,14.0,100.0,0.548,644.0
1,5,8,0,207,0,1.86,1.86,0.11,1,5.49,48.96,0,3.819444515866133,70.86,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,397,182,438,296,2.75,2.75,0.0,11,7.14,71.19,9,1.8120521923871955,86.34,0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,4.35
1,5,6,0,164,0,5.93,5.93,0.68,2,6.07,56.29,0,1.9541658946688167,67.48,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,15,0,55,0,0.91,0.91,0.0,1,5.03,20.71,0,0.5794302525583892,70.12,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,11,0,332,0,9.06,9.06,1.6,1,3.38,72.62,0,2.4235746811271457,53.52,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,14,0,364,0,3.44,3.44,0.7,2,5.98,17.03,0,12.155020061879627,66.92,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,4,668,320,124,0,16.0,16.0,2.91,12,7.87,22.26,3,3.728661237492236,52.32,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,3,0,361,0,7.62,7.62,0.77,2,6.2,62.16,0,3.3140283221634586,67.1,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,396,217,328,160,1.58,1.58,0.2,10,5.23,56.74,7,4.124074604826889,63.27,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,2.71
1,5,10,0,145,0,0.64,0.64,0.05,1,7.89,55.93,0,2.3064544841073835,81.06,0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,7,0,438,0,1.9,1.9,0.46,1,4.89,31.01,0,3.386004489680912,64.96,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,4,0,112,0,2.23,2.23,0.27,2,6.91,22.8,1,2.3684211318842947,74.94,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,18,0,89,0,4.88,4.88,0.34,2,0.43,67.15,0,1.1913625939259114,48.32,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,686,0,174,0,7.61,7.61,1.09,11,0.4,27.85,5,2.190305176461935,41.6,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,17,0,452,0,5.56,5.56,0.46,1,5.41,7.64,0,34.81675453514899,67.04,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,350,263,317,1220,8.0,8.0,1.02,11,3.28,4.85,4,29.69072223330473,53.06,168,1344.0,4,551.04,560.0,8400,42.0,100.0,0.41,305.0
1,1,39,0,210,0,6.25,6.25,0.61,1,4.03,48.16,0,0.9136212653531466,60.02,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,9,0,492,0,4.28,4.28,0.4,1,5.55,56.38,0,7.928343233976868,68.2,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,6,0,134,0,4.54,4.54,1.07,2,4.39,22.06,0,4.487760761410826,57.56,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,24,0,296,0,2.42,2.42,0.0,2,3.79,3.98,0,41.7085425136866,65.16,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
0,4,386,97,466,0,2.87,2.87,0.48,12,6.39,50.83,1,3.855990417853053,60.71,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,547,325,253,253,9.05,9.05,0.0,11,8.02,76.63,11,1.4093697490662878,78.55,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,3.37
1,2,481,111,378,995,25.01,20.78,9.12,11,4.94,7.95,0,21.1320759786948,80.53,107,2676.07,2,528.58,356.67,5350,26.75,100.0,0.198,124.38
1,3,385,226,272,0,1.48,1.48,0.2,11,0.61,30.77,0,3.477413012940093,26.96,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,3,0,304,0,6.19,6.19,0.72,1,5.65,61.14,0,2.109911699178736,65.4,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,37,0,442,0,5.87,5.87,0.68,1,5.88,67.09,0,1.6693994054780623,66.72,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,55,0,100,0,8.47,8.47,0.0,2,7.19,13.39,0,1.5683345378308489,78.76,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,3,0,229,0,9.24,9.24,0.0,1,3.36,20.56,0,6.32295736268597,63.44,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,475,386,213,3,6.51,6.51,1.3,7,2.79,30.06,0,3.7924152370382,19.25,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.1
1,3,446,160,331,882,8.45,8.45,1.02,10,3.0,14.78,1,15.561569969917963,67.65,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,58.8
1,0,22,0,388,0,9.03,9.03,0.0,1,0.65,34.56,0,8.767360762727495,52.6,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,5,0,157,0,2.81,2.81,0.54,1,5.51,39.6,0,3.636363776481081,66.64,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,335,20,61,98,6.04,3.98,1.2,9,3.37,4.47,5,11.633110165709988,81.09,18,108.72,2,60.66,60.0,900,4.5,83.5,0.558,24.5
0,3,483,93,476,1265,1.83,1.45,0.26,12,4.94,7.64,3,24.214660109032188,89.46,614,1123.62,2,3033.16,2046.67,30700,153.5,100.0,2.699,180.71
1,1,25,0,340,0,1.76,1.76,0.14,2,7.3,44.62,0,5.042581922592079,77.8,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,10,0,142,0,1.8,1.8,0.24,2,6.97,27.35,0,5.118829910322535,75.48,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,24,0,71,0,7.51,7.51,0.66,1,2.19,6.51,0,9.370199363338182,52.16,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,7,0,110,0,3.06,3.06,0.57,2,4.44,84.32,0,0.7945920332363644,62.06,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,22,0,235,235,6.18,6.18,0.5,2,3.81,34.53,2,2.9539531887025743,90.24,235,1452.3,0,895.35,783.33,11750,58.75,100.0,0.617,6.91
1,4,618,399,336,1272,18.26,18.26,4.49,11,5.24,3.35,2,21.492537925280043,65.13,75,1369.5,1,393.0,250.0,3750,18.75,100.0,0.287,424.0
1,1,20,0,378,0,1.6,1.6,0.14,1,6.58,17.69,0,18.032786340839632,74.92,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,34,0,448,0,4.69,4.69,0.93,2,5.64,81.46,0,3.1549226968870365,63.26,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,52,0,257,0,0.5,0.5,0.08,1,3.7,46.49,0,1.1400300728435655,64.0,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,5,0,209,0,3.31,3.31,0.37,1,5.47,34.52,0,4.634994144793397,68.18,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,475,369,475,2336,6.33,6.33,0.71,10,8.24,7.85,8,37.83439536409798,74.79,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,292.0
1,3,636,352,147,71,6.17,6.17,1.08,10,1.58,19.54,6,4.401228043528935,46.6,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,3.74
0,3,549,270,91,46,3.02,3.02,0.38,10,7.17,15.38,7,1.755526644934715,73.61,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,3.07
1,3,523,455,99,379,9.92,9.92,1.19,10,5.07,3.4,10,8.235293886653286,55.48,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,126.33
1,7,4,0,200,0,9.34,9.34,1.8,2,4.68,40.97,0,3.9297045448620302,58.72,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,681,0,300,0,2.96,2.96,0.4,7,1.21,70.74,6,1.6680803444077474,50.84,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,12,0,483,483,6.51,6.51,1.35,1,5.39,75.8,1,4.617414062120984,91.56,483,3144.33,0,2603.37,1610.0,24150,120.75,100.0,0.828,6.53
1,5,3,0,495,495,4.74,4.74,0.45,1,7.77,69.11,1,3.2846186947652707,100.0,495,2346.3,0,3846.15,1650.0,24750,123.75,100.0,1.639,6.88
1,0,12,0,474,0,8.61,8.61,0.98,2,6.75,9.43,0,46.12937284437249,67.2,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,14,0,337,0,3.11,3.11,0.49,1,4.59,81.51,0,2.8094711568926773,63.46,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,498,434,133,0,7.88,7.88,1.07,11,6.22,34.81,0,1.1490950422854955,30.02,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,300,131,323,0,5.8,5.8,1.1,9,3.01,42.95,0,6.030267646083141,34.57,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,8,0,181,181,8.67,8.67,0.67,1,3.86,38.3,1,2.088772887561547,87.32,181,1569.27,0,698.66,603.33,9050,45.25,100.0,0.445,4.76
1,3,535,0,196,0,1.33,1.33,0.21,10,4.44,61.53,7,1.852754790535732,65.66,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,4,0,317,0,6.32,6.32,1.4,2,6.12,46.13,0,3.468458623353273,64.48,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,501,0,123,0,7.39,7.39,0.78,11,9.33,19.05,9,4.146981793380369,79.52,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,6,509,234,373,0,19.93,19.93,3.31,11,6.13,51.54,0,5.89833128831813,46.13,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,44,0,241,0,4.02,4.02,0.59,2,9.0,71.23,0,2.4427908437415886,80.1,0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,0.0
0,2,419,101,222,421,85.24,71.69,22.17,11,7.78,5.18,2,26.83397772323505,91.48,0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,84.2
0,3,483,0,232,0,6.0,6.0,0.0,9,3.57,3.34,2,36.22754584114826,64.28,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,707,272,156,0,2.11,2.11,0.36,10,4.01,28.08,3,5.19943021355716,47.05,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,24,0,210,0,7.93,7.93,0.48,2,4.68,45.06,0,2.663115764375656,63.92,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,321,157,151,0,1.34,1.34,0.15,10,8.23,61.41,7,2.100635080940099,61.86,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,505,288,112,0,3.43,3.43,0.4,13,2.89,23.52,7,4.6343536512993735,34.75,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,11,0,475,0,5.22,5.22,1.02,1,7.1,36.62,0,5.871108855025145,68.4,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,11,0,206,0,6.25,6.25,0.59,1,5.41,12.15,0,14.732510750617848,65.74,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,2,620,446,246,0,20.82,20.82,6.46,11,1.71,74.57,0,1.139868584522734,18.07,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,15,0,321,0,6.39,6.39,0.4,2,4.35,13.19,0,11.296437053841824,63.4,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
0,4,403,143,227,77,15.44,15.44,3.68,10,5.17,50.32,7,2.5238473920949342,55.55,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,1.51
0,3,692,194,95,0,2.94,2.59,0.38,10,3.77,53.42,8,1.0857357167360815,50.07,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,49,0,105,0,8.1,8.1,0.65,2,6.06,32.48,0,0.9852216887622752,67.74,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,39,0,320,0,8.9,8.9,0.8,1,2.41,32.04,0,3.4332083912860125,51.64,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
0,4,645,224,350,0,13.23,13.23,2.0,12,5.62,71.8,2,4.49860705113288,48.59,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,39,0,296,0,4.21,4.21,0.46,1,5.0,34.42,0,7.001743545048673,65.4,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,11,0,107,107,7.38,7.38,1.06,1,4.59,4.67,1,20.985010363805305,88.36,107,789.66,0,491.13,356.67,5350,26.75,100.0,0.622,26.75
1,1,38,0,424,0,1.16,1.16,0.0,2,1.89,45.58,0,4.3001314639364665,57.56,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,23,0,250,0,6.01,6.01,0.91,1,6.39,9.32,0,19.63519377598558,66.46,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,499,142,103,139,0.69,0.61,0.13,11,6.58,7.59,8,2.89855066636578,93.64,0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,19.86
1,7,10,0,121,0,1.62,1.62,0.23,1,1.92,58.15,0,1.960447068075584,55.38,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,37,0,463,0,9.93,9.93,0.85,1,4.8,18.63,0,14.922169217562146,60.7,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,49,0,60,0,2.62,2.62,0.19,2,5.24,37.28,0,1.3948498310809427,69.06,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
0,2,433,364,421,706,20.96,20.96,8.12,7,5.07,42.72,0,4.588014850173126,56.65,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,16.81
1,6,569,74,328,120,4.74,3.46,1.15,13,4.87,40.32,9,3.893849235821143,71.84,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,2.93
1,7,3,0,169,0,7.07,7.07,1.73,1,6.25,14.1,0,10.212765681144615,65.0,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,10,0,252,0,3.99,3.99,0.66,2,6.52,16.35,0,12.966360553744709,69.48,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,619,36,290,108,0.62,0.41,0.0,7,6.16,39.33,0,6.102211767773113,88.93,0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,2.77
1,7,8,0,196,0,5.02,5.02,0.56,2,0.45,28.66,0,2.791346839704317,46.2,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,483,74,428,0,9.07,9.07,1.27,13,7.43,78.38,0,5.281959868682522,63.59,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,609,263,356,48,1.31,1.31,0.0,9,7.6,44.16,2,7.78985509938038,69.53,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,1.07
0,6,530,392,80,0,3.49,3.49,0.58,8,5.49,69.08,6,0.752750414326474,36.58,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,47,0,288,0,9.7,9.7,1.36,2,8.6,55.96,0,4.967834248538029,74.4,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,456,148,247,0,9.46,9.46,1.01,13,4.45,30.31,0,4.124051540827487,44.82,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
0,6,528,287,149,91,15.47,15.47,2.95,8,3.4,29.28,6,1.0928961492338718,50.69,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,3.14
1,3,389,148,428,239,5.65,5.65,1.02,10,5.16,63.89,7,2.770386628438094,67.15,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,3.62
1,3,534,385,383,0,3.14,3.14,0.58,12,7.16,67.51,4,1.6590134269880754,44.0,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,34,0,392,0,7.58,7.58,0.0,1,5.84,34.0,0,11.176470588235292,73.36,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,7,0,374,0,6.13,6.13,0.87,1,3.5,67.87,0,1.5912773777725968,55.3,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,514,323,96,0,7.18,7.18,1.07,7,8.12,64.5,5,1.2093023255813953,47.34,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,43,0,282,0,1.9,1.9,0.12,1,4.73,13.7,0,13.284671717799274,67.72,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,10,0,130,0,9.92,9.92,0.66,2,2.25,36.52,0,1.5881708453722092,52.4,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,425,351,166,0,8.79,8.79,1.73,10,3.93,52.05,2,2.0749279843044075,22.68,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,8,0,378,0,2.01,2.01,0.46,2,3.85,77.5,0,1.883870967741936,60.8,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,415,278,488,1287,4.57,4.57,0.54,12,4.03,21.49,6,15.960912222110885,63.92,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,61.29
0,3,624,5,156,0,5.71,5.71,0.61,12,4.25,70.34,4,0.9098664107482274,60.58,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,11,0,202,0,9.5,9.5,1.51,1,8.26,76.55,0,1.9856302278293592,73.04,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,44,0,368,0,1.28,1.28,0.1,2,4.88,23.06,0,8.976583035299763,68.52,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,6,0,100,0,9.79,9.79,1.4,2,4.93,37.79,0,1.87880387086276,59.72,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,52,0,253,0,7.83,7.83,0.99,2,4.84,56.8,0,0.9330986040827066,59.46,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,7,0,484,0,5.47,5.47,0.36,2,7.74,9.53,0,42.4973778959102,77.36,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,12,0,435,0,3.13,3.13,0.41,1,4.19,12.04,0,9.883720961547676,62.66,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,4,0,411,0,9.69,9.69,1.09,2,5.86,16.64,0,14.663462076314122,63.44,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,12,0,220,0,3.7,3.7,0.5,1,6.46,76.92,0,0.6240249758531443,70.84,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,16,0,89,0,4.49,4.49,0.4,2,6.22,46.51,0,0.7955278721837695,70.88,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,13,0,64,0,1.51,1.51,0.32,2,2.99,17.84,0,1.4573990906736851,58.76,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,451,0,393,0,7.71,7.71,0.91,7,3.81,7.85,0,33.630573656975976,56.14,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
0,3,493,378,295,201,9.78,9.78,1.55,13,5.84,19.31,5,10.616261298275257,62.69,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,10.58
0,6,704,463,187,565,7.07,7.07,1.63,10,3.71,9.58,10,6.471816335465595,58.53,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,62.78
1,3,551,115,184,8,0.96,0.78,0.1,11,6.8,22.49,3,3.290351300715947,70.03,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.36
0,6,659,295,78,0,12.78,12.78,3.54,12,6.28,30.78,9,0.8447043346324744,47.21,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,6,495,19,203,0,5.07,5.07,0.86,11,4.46,68.31,5,2.57648962509527,57.7,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,57,0,384,0,6.52,6.52,0.64,1,0.58,29.07,0,7.843137337238925,45.92,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,382,184,176,0,5.41,5.41,0.92,12,3.5,26.14,3,5.5853100003444025,35.53,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,419,294,289,37,5.96,5.96,0.0,13,3.82,63.86,9,1.331036629934227,40.74,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.59
1,0,43,0,189,0,9.57,9.57,1.77,2,3.77,69.82,1,0.9166427997670752,55.08,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,10,0,455,0,3.55,3.55,0.87,2,2.87,27.64,0,11.107091417483018,52.78,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,37,0,375,0,9.07,9.07,0.0,1,3.71,76.2,0,4.435695715704318,64.84,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,44,0,430,0,4.58,4.58,0.0,2,2.81,59.06,0,3.233999247524177,61.24,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,3,481,104,311,0,6.21,6.21,1.03,8,7.96,46.38,1,4.70030174600121,63.19,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,7,4,0,340,0,3.74,3.74,0.69,2,2.63,60.82,1,2.729365354043673,53.62,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,5,5,0,152,0,5.55,5.55,0.76,1,2.1,55.28,0,0.596960939376123,50.8,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0,57,0,449,0,8.35,8.35,1.39,1,2.03,6.62,0,35.04531782637739,48.12,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
1,6,484,97,166,0,3.04,3.04,0.69,11,6.5,48.0,4,2.9166666666666665,61.08,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1,6,608,133,196,686,10.31,8.44,3.06,11,4.83,2.8,6,25.35714328897244,80.57,420,4330.2,2,2028.6,1400.0,21000,105.0,100.0,0.468,343.0
